Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cov1163,0.00143,0.00011,0.00079,0.00028,0.02393,0.02473,0.02687,462 (-461),165 (-164)
cov1164,0.00129,0.00012,0.00088,0.00029,0.02535,0.02623,0.02821,462 (-461),330 (-329)
cov1165,0.00064,0.00009,0.00092,0.00027,0.01916,0.02009,0.02134,462 (-461),462 (-461)
cov1174,0.00154,0.00008,0.00088,0.00025,0.02230,0.02318,0.02539,330 (-329),330 (-329)
cov1175,0.00095,0.00012,0.00074,0.00024,0.02407,0.02480,0.02636,330 (-329),462 (-461)
cov1176,0.00044,0.00008,0.00092,0.00022,0.00831,0.00923,0.01013,330 (-329),462 (-461)
cov1185,0.00117,0.00007,0.00092,0.00022,0.00679,0.00772,0.00942,165 (-164),462 (-461)
cov1186,0.00071,0.00008,0.00081,0.00018,0.00464,0.00545,0.00665,165 (-164),462 (-461)
cov1187,0.00031,0.00006,0.00089,0.00014,0.00278,0.00366,0.00432,165 (-164),330 (-329)
cov1274,0.00351,0.00020,0.00087,0.00055,0.16127,0.16214,0.16704,792 (-791),495 (-494)
cov1275,0.00295,0.00015,0.00110,0.00054,0.12025,0.12135,0.12547,792 (-791),792 (-791)
