Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
codbt142,0.00150,0.00007,0.00044,0.00070,0.00726,0.00770,0.01025,162 (-161),162 (-161)
codbt143,0.00164,0.00007,0.00027,0.00064,0.01043,0.01069,0.01353,162 (-161),162 (-161)
codbt144,0.00111,0.00007,0.00028,0.00051,0.00965,0.00993,0.01190,162 (-161),162 (-161)
codbt151,0.00166,0.00010,0.00090,0.00171,0.03936,0.04026,0.04413,486 (-485),486 (-485)
codbt152,0.00468,0.00018,0.00035,0.00208,0.08927,0.08962,0.09737,486 (-485),486 (-485)
codbt153,0.00875,0.00036,0.00062,0.00297,0.12606,0.12668,0.14086,486 (-485),486 (-485)
codbt154,0.01436,0.00051,0.00064,0.00293,0.13874,0.13938,0.15954,486 (-485),486 (-485)
codbt161,0.00408,0.00025,0.00044,0.00233,0.70403,0.70448,0.71201,1458 (-1457),1458 (-1457)
codbt162,0.01891,0.00068,0.00059,0.00553,1.84327,1.84386,1.87166,1458 (-1457),1458 (-1457)
codbt163,0.04311,0.00087,0.00047,0.00827,2.97917,2.97964,3.03697,1458 (-1457),1458 (-1457)
codbt164,0.07453,0.00331,0.00079,0.01121,3.70438,3.70517,3.80461,1458 (-1457),1458 (-1457)
codbt171,0.01962,0.00095,0.00078,0.00744,27.02661,27.02738,27.05956,4374 (-4373),4374 (-4373)
codbt172,0.06747,0.00260,0.00069,0.01348,137.64923,137.64992,137.74316,4374 (-4373),4374 (-4373)
codbt173,0.21973,0.00438,0.00062,0.04282,94.11394,94.11456,94.40900,4374 (-4373),4374 (-4373)
codbt174,0.51810,0.01122,0.00153,0.08081,112.07228,112.07381,112.76399,4374 (-4373),4374 (-4373)
codbt211,0.00009,0.00003,0.00046,0.00006,0.00078,0.00124,0.00162,12 (-11),12 (-11)
codbt212,0.00014,0.00002,0.00073,0.00016,0.00304,0.00376,0.00433,12 (-11),12 (-11)
codbt221,0.00008,0.00007,0.00026,0.00007,0.00078,0.00104,0.00133,36 (-35),36 (-35)
codbt222,0.00010,0.00002,0.00048,0.00010,0.00127,0.00175,0.00218,36 (-35),36 (-35)
codbt231,0.00022,0.00003,0.00030,0.00027,0.00369,0.00398,0.00473,108 (-107),108 (-107)
codbt232,0.00064,0.00006,0.00035,0.00045,0.00553,0.00588,0.00733,108 (-107),108 (-107)
codbt241,0.00076,0.00008,0.00037,0.00060,0.01441,0.01478,0.01649,324 (-323),324 (-323)
codbt242,0.00248,0.00011,0.00035,0.00087,0.03266,0.03302,0.03716,324 (-323),324 (-323)
codbt251,0.00433,0.00023,0.00055,0.00292,0.18681,0.18736,0.19598,972 (-971),972 (-971)
codbt252,0.01365,0.00055,0.00054,0.00302,0.55169,0.55223,0.57118,972 (-971),972 (-971)
codbt261,0.00984,0.00055,0.00039,0.00499,8.21384,8.21423,8.23149,2916 (-2915),2916 (-2915)
codbt262,0.04170,0.00132,0.00060,0.01108,45.03729,45.03789,45.09742,2916 (-2915),2916 (-2915)
codbt341,0.00209,0.00016,0.00072,0.00186,0.06746,0.06818,0.07297,648 (-647),648 (-647)
codbt342,0.00730,0.00024,0.00076,0.00311,0.21961,0.22038,0.23244,648 (-647),648 (-647)
codbt451,0.01541,0.00108,0.00050,0.00764,44.51912,44.51962,44.54628,3888 (-3887),3888 (-3887)
codbt452,0.06033,0.00110,0.00073,0.01725,89.32362,89.32435,89.41060,3888 (-3887),3888 (-3887)
codbt453,0.16619,0.00425,0.00057,0.02753,54.16108,54.16166,54.38055,3888 (-3887),3888 (-3887)
codbt511,0.00028,0.00005,0.00047,0.00044,0.00395,0.00442,0.00558,96 (-95),96 (-95)
codbt512,0.00056,0.00011,0.00035,0.00030,0.00327,0.00362,0.00492,96 (-95),96 (-95)
codbt521,0.00083,0.00013,0.00044,0.00118,0.01407,0.01451,0.01694,288 (-287),288 (-287)
codbt522,0.00204,0.00007,0.00040,0.00121,0.02675,0.02715,0.03089,288 (-287),288 (-287)
codbt531,0.00254,0.00024,0.00057,0.00225,0.15732,0.15789,0.16347,864 (-863),864 (-863)
codbt532,0.00969,0.00033,0.00154,0.00299,0.42864,0.43018,0.44479,864 (-863),864 (-863)
codbt711,0.00157,0.00010,0.00080,0.00153,0.02933,0.03013,0.03387,384 (-383),384 (-383)
codbt712,0.00304,0.00017,0.00055,0.00164,0.03761,0.03816,0.04379,384 (-383),384 (-383)
codbt721,0.00393,0.00029,0.00050,0.00324,0.48793,0.48843,0.49687,1152 (-1151),1152 (-1151)
codbt722,0.01513,0.00084,0.00086,0.00511,0.92299,0.92385,0.94710,1152 (-1151),1152 (-1151)
codbt731,0.01283,0.00069,0.00052,0.00720,14.54047,14.54099,14.56467,3456 (-3455),3456 (-3455)
codbt732,0.04365,0.00142,0.00056,0.01065,22.39041,22.39096,22.45209,3456 (-3455),3456 (-3455)
codbt811,0.00241,0.00014,0.00037,0.00268,0.08077,0.08114,0.08699,768 (-767),768 (-767)
codbt812,0.00812,0.00026,0.00049,0.00324,0.24636,0.24685,0.25958,768 (-767),768 (-767)
codbt821,0.00803,0.00053,0.00059,0.00445,3.80125,3.80184,3.81629,2304 (-2303),2304 (-2303)
codbt822,0.02647,0.00088,0.00044,0.00730,6.42293,6.42337,6.46167,2304 (-2303),2304 (-2303)
codbt831,0.03318,0.00186,0.00071,0.01374,158.36324,158.36395,158.41833,6912 (-6911),6912 (-6911)
codbt832,0.16198,0.00507,0.00094,0.03236,294.13817,294.13911,294.35752,6912 (-6911),6912 (-6911)
cov1052,0.00047,0.00006,0.00045,0.00043,0.00312,0.00357,0.00483,252 (-251),45 (-44)
cov1053,0.00096,0.00007,0.00039,0.00086,0.00768,0.00806,0.01029,252 (-251),120 (-119)
cov1054,0.00046,0.00008,0.00045,0.00054,0.00855,0.00900,0.01030,252 (-251),210 (-209)
